line_number,subject_ids,image_number,user_name,workflow_id,workflow_version,classification_id,created_at,elapsed_time,image_size
17,3273876,F201508250849929,Pmason,1962,31.37,15244025,2016-08-11 01:20:16 UTC,0:03:07,"[795, 545]"
18,3273952,F201508250849122,Pmason,1962,31.37,15270460,2016-08-11 16:03:48 UTC,0:04:02,"[795, 545]"
19,3273970,F201508250848903,Pmason,1962,31.37,15293088,2016-08-11 23:23:35 UTC,0:00:53,"[795, 545]"
20,3273864,F201508250850033,Pmason,1962,31.37,15431965,2016-08-13 23:51:17 UTC,0:01:05,"[795, 545]"
21,3279116,F201508250887238,AdrianEvans,1962,31.37,15447329,2016-08-14 06:11:03 UTC,0:00:51,"[795, 545]"
22,3278846,F201508250889915,AdrianEvans,1962,31.37,15500767,2016-08-15 04:57:59 UTC,0:00:21,"[795, 545]"
23,3279294,F201508250885424,AdrianEvans,1962,31.37,15501455,2016-08-15 05:27:28 UTC,0:01:03,"[795, 545]"
24,3279203,F201508250886407,AdrianEvans,1962,31.37,15514836,2016-08-15 14:47:09 UTC,0:00:18,"[795, 545]"
25,3279317,F201508250885224,AdrianEvans,1962,31.37,15515764,2016-08-15 15:04:48 UTC,0:00:12,"[795, 545]"
26,3278987,F201508250888433,AdrianEvans,1962,31.37,15515802,2016-08-15 15:05:18 UTC,0:00:08,"[795, 545]"
27,3278940,F201508250888917,AdrianEvans,1962,31.37,15516017,2016-08-15 15:08:28 UTC,0:00:09,"[795, 545]"
28,3282701,F201508250840032,Visitor,1962,31.37,15543142,2016-08-16 00:05:15 UTC,0:00:27,"[795, 545]"
29,3273899,F201508250849737,Pmason,1962,31.37,15655523,2016-08-17 15:45:16 UTC,0:02:39,"[795, 545]"
30,3273877,F201508250849928,Pmason,1962,31.37,15667967,2016-08-17 18:28:05 UTC,0:01:14,"[795, 545]"
31,3278939,F201508250888923,QIba29ea7c,1962,31.37,15827395,2016-08-20 12:18:18 UTC,0:00:05,"[795, 545]"
32,3279085,F201508250887515,QIba29ea7c,1962,31.37,15827412,2016-08-20 12:18:41 UTC,0:00:07,"[795, 545]"
33,3278686,F201508250891433,QIba29ea7c,1962,31.37,15827424,2016-08-20 12:19:20 UTC,0:00:07,"[795, 545]"
34,3278481,F201508250893608,QIba29ea7c,1962,31.37,15828164,2016-08-20 12:42:42 UTC,0:00:07,"[795, 545]"
35,3278747,F201508250890910,QIba29ea7c,1962,31.37,15828277,2016-08-20 12:45:19 UTC,0:02:11,"[795, 545]"
36,3278431,F201508250894123,QIba29ea7c,1962,31.37,15828339,2016-08-20 12:46:19 UTC,0:00:06,"[795, 545]"
37,3276956,F201508250908628,Visitor,1962,31.37,16167652,2016-08-25 22:55:01 UTC,0:00:52,"[795, 545]"
38,3273953,F201508250849117,Pmason,1962,31.37,16427966,2016-08-30 17:07:53 UTC,0:01:27,"[795, 545]"
39,3282127,F201508250869122,QIbc5cbcdb,1962,31.37,16505574,2016-09-01 00:25:04 UTC,0:00:18,"[795, 545]"
40,3282094,F201508250871406,QIbc5cbcdb,1962,31.37,16505741,2016-09-01 00:29:42 UTC,0:00:05,"[795, 545]"
41,3273956,F201508250849107,Pmason,1962,31.37,16679180,2016-09-04 19:41:29 UTC,0:01:01,"[795, 545]"
