Zooniverse name,HTRU-N name,Possible source
HTRU-N_set04_cand006854.png,Z035.0+03.2_masked_beam0_57244_No3_DM0.00_11.07ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand020958.png,G116.0+09.0_masked_beam4_56392_No6_DM0.00_33.63ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand026298.png,G226.1-12.8_masked_beam6_57055_No2_DM0.00_8.33ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand026431.png,G142.5-04.8_masked_beam4_56289_No1_DM0.00_29.42ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand009943.png,G134.3-11.3_masked_beam3_56053_No8_DM0.00_10.91ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand019871.png,G111.8-06.9_masked_beam2_56545_No1_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand051035.png,Z151.0-00.2_masked_beam2_56844_No1_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand023218.png,Z118.6+01.6_masked_beam1_57339_No3_DM0.00_20.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand003609.png,G031.6-08.2_masked_beam1_56393_No4_DM0.00_58.85ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand030832.png,G189.8+04.1_masked_beam1_56290_No2_DM0.00_23.54ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand015492.png,G157.4-06.3_masked_beam5_57003_No3_DM0.00_15.65ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand034545.png,Z023.6+01.9_masked_beam0_56647_No4_DM0.00_15.33ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand001787.png,G107.5+07.3_masked_beam5_57105_No7_DM0.00_0.58ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand031996.png,G211.0+08.7_masked_beam3_56299_No5_DM0.00_7.59ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand020287.png,G113.5+08.0_masked_beam4_56392_No3_DM0.00_58.85ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand013576.png,Z080.5+00.4_masked_beam5_57304_No5_DM0.00_7.06ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand008028.png,G115.3-06.9_masked_beam0_55923_No2_DM0.00_30.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand013743.png,Z081.0-00.1_masked_beam1_57304_No2_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand014076.png,G168.6-05.3_masked_beam0_55924_No6_DM0.00_30.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand033288.png,Z154.1+01.2_masked_beam3_57121_No7_DM0.00_1820.91ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand015330.png,G093.1-12.7_masked_beam1_56516_No2_DM0.00_58.85ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand015554.png,G094.3-12.9_masked_beam5_56516_No4_DM0.00_18.11ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand020252.png,G113.1+09.4_masked_beam4_56477_No4_DM0.00_117.69ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand034178.png,Z021.0+03.2_masked_beam4_56654_No3_DM0.00_17.25ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand031013.png,G192.3+05.0_masked_beam1_56290_No6_DM0.00_3.22ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand018612.png,G179.1-05.3_masked_beam5_57003_No1_DM0.00_1.54ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand005889.png,G042.8-05.0_masked_beam1_56544_No1_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand028236.png,G156.4+09.8_masked_beam5_56299_No2_DM0.00_21.40ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand013627.png,G085.8-08.7_masked_beam6_56478_No6_DM0.00_25.14ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand011615.png,Z072.5-01.8_masked_beam4_57278_No1_DM0.00_20.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand026279.png,G226.1-12.8_masked_beam0_57055_No1_DM0.00_8.33ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand028244.png,G156.4+09.8_masked_beam6_56299_No1_DM0.00_47.08ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand016398.png,G204.0+08.4_masked_beam2_56130_No1_DM0.00_999.81ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand026890.png,G146.3-03.5_masked_beam3_56283_No7_DM0.00_47.08ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand017005.png,G222.9-05.3_masked_beam3_55928_No2_DM0.00_1.80ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand031053.png,G192.3+05.0_masked_beam2_56290_No5_DM0.00_3.32ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand026286.png,G141.5-03.8_masked_beam2_56289_No1_DM0.00_29.42ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand031773.png,G207.1+09.7_masked_beam1_56295_No8_DM0.00_29.42ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand012386.png,G079.9-06.1_masked_beam2_56544_No2_DM0.00_17.14ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand034150.png,Z020.9+02.6_masked_beam4_56655_No5_DM0.00_8.12ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand027864.png,G238.5+09.0_masked_beam5_57055_No1_DM0.00_50.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand025899.png,G224.1-11.1_masked_beam6_57055_No2_DM0.00_5.56ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand026911.png,Z160.9-03.5_masked_beam4_55917_No3_DM0.00_14.95ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand018149.png,Z097.8+02.0_masked_beam6_57265_No1_DM0.00_20.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand021651.png,G118.6+07.5_masked_beam4_56290_No4_DM0.00_142.82ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand016702.png,Z092.6+02.6_masked_beam2_57265_No5_DM0.00_6.71ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand025858.png,Z150.9-00.7_masked_beam3_55917_No3_DM0.00_14.95ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand012595.png,G152.8-06.1_masked_beam4_55918_No8_DM0.00_20.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand015555.png,G094.3-12.9_masked_beam5_56516_No6_DM0.00_21.40ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand008370.png,G119.8-10.9_masked_beam0_56053_No6_DM0.00_30.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand026466.png,G227.1-10.7_masked_beam0_57055_No1_DM0.00_25.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand026589.png,Z131.4-02.0_masked_beam3_57340_No1_DM0.00_2.31ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand015552.png,G094.3-12.9_masked_beam5_56516_No2_DM0.00_33.63ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand022565.png,G121.6+07.8_masked_beam5_56289_No3_DM0.00_142.82ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand034148.png,Z020.9+02.6_masked_beam4_56655_No3_DM0.00_11.50ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand026579.png,Z157.6-02.2_masked_beam5_55917_No5_DM0.00_1.80ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand011248.png,G133.0+03.5_masked_beam3_57011_No7_DM0.00_130.17ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand009157.png,G127.9-04.9_masked_beam0_55942_No6_DM0.00_30.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand001579.png,G035.3+04.8_masked_beam3_57020_No3_DM0.00_911.08ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand012286.png,G150.6-14.1_masked_beam2_56048_No6_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand019146.png,G108.9-06.6_masked_beam0_56287_No6_DM0.00_60.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set01_cand012379.png,G116.0+09.0_masked_beam4_56392_No4_DM0.00_26.15ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand013571.png,Z080.5+00.4_masked_beam5_57304_No1_DM0.00_17.14ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set01_cand016561.png,G141.5-03.8_masked_beam5_56289_No3_DM0.00_78.46ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand015193.png,G092.4-10.7_masked_beam3_56517_No2_DM0.00_21.40ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand051003.png,Z150.3-00.8_masked_beam5_56844_No3_DM0.00_17.14ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand003615.png,G031.6-08.2_masked_beam5_56393_No1_DM0.00_30.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand051004.png,Z150.3-00.8_masked_beam5_56844_No4_DM0.00_13.33ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand030796.png,Z202.4+03.2_masked_beam3_55917_No2_DM0.00_60.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand025880.png,G224.1-11.1_masked_beam2_57055_No1_DM0.00_5.56ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand010210.png,G127.4-07.6_masked_beam4_57018_No6_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set01_cand019555.png,G189.3-07.3_masked_beam0_56289_No2_DM0.00_60.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set01_cand011104.png,G108.5-08.6_masked_beam4_56478_No1_DM0.00_120.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand008689.png,G055.3-03.7_masked_beam4_56284_No8_DM0.00_1764.16ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand000835.png,G063.8+13.5_masked_beam1_56105_No3_DM0.00_1.70ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand013740.png,Z081.0-00.1_masked_beam0_57304_No4_DM0.00_17.14ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand025149.png,Z145.0-00.9_masked_beam3_55917_No6_DM0.00_14.95ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand012898.png,G155.8-05.6_masked_beam0_55924_No1_DM0.00_60.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand013395.png,G143.3-04.1_masked_beam1_57013_No1_DM0.00_10.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand016682.png,G098.8-04.8_masked_beam0_56287_No1_DM0.00_60.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand013761.png,Z081.0-00.1_masked_beam4_57304_No1_DM0.00_13.33ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand034542.png,Z023.6+01.9_masked_beam0_56647_No3_DM0.00_7.26ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand010004.png,G126.1-08.2_masked_beam3_57041_No2_DM0.00_53.37ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand008641.png,G055.1-04.3_masked_beam6_56544_No3_DM0.00_120.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand013770.png,Z081.0-00.1_masked_beam5_57304_No2_DM0.00_17.14ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand036252.png,Z036.1+00.1_masked_beam1_56846_No1_DM24.80_2.17ms_Cand.pfd,Possible match HTRU-N_set03_cand036252.png for J1854+0306 with P0 4.557820 Harmonic Number = 2.0 Angular sep. (deg): 0.243542442602
HTRU-N_set03_cand036252.png,Z036.1+00.1_masked_beam1_56846_No1_DM24.80_2.17ms_Cand.pfd,Possible match HTRU-N_set03_cand036252.png for J1858+0241 with P0 4.693233 Harmonic Number = 2.0 Angular sep. (deg): 0.174324670728
HTRU-N_set07_cand030413.png,Z198.3-03.2_masked_beam4_55917_No1_DM0.00_0.85ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand011867.png,G136.0-05.1_masked_beam4_57013_No2_DM0.00_17.14ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand047146.png,Z115.4-00.1_masked_beam5_56647_No1_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand030777.png,G188.6+07.7_masked_beam4_56299_No6_DM0.00_17.14ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand008456.png,G120.6-09.4_masked_beam0_56053_No6_DM0.00_60.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand030749.png,Z144.0+00.1_masked_beam4_57385_No1_DM0.00_20.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand016483.png,G164.3-06.9_masked_beam5_57003_No1_DM0.00_30.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand025895.png,G224.1-11.1_masked_beam4_57055_No5_DM0.00_7.14ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand011349.png,G076.1-07.4_masked_beam5_56892_No2_DM0.00_2.17ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand051041.png,Z151.0-00.2_masked_beam4_56844_No1_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand017699.png,G173.1-06.3_masked_beam5_57003_No1_DM0.00_0.77ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand025928.png,G138.4-04.9_masked_beam2_56545_No5_DM0.00_10.91ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand026892.png,Z133.0+00.2_masked_beam4_57263_No4_DM0.00_6.67ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand034535.png,Z170.3+03.0_masked_beam6_57277_No1_DM0.00_16.68ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand019347.png,Z104.4+00.0_masked_beam0_57264_No1_DM8.10_1.10ms_Cand.pfd,Possible match HTRU-N_set04_cand019347.png for J2217+5733 with P0 1.056844 Harmonic Number = 1 Angular sep. (deg): 0.0737272720032
HTRU-N_set04_cand019347.png,Z104.4+00.0_masked_beam0_57264_No1_DM8.10_1.10ms_Cand.pfd,Possible match HTRU-N_set04_cand019347.png for J2210+57 with P0 2.057430 Harmonic Number = 2.0 Angular sep. (deg): 0.150167141089
HTRU-N_set04_cand013749.png,Z081.0-00.1_masked_beam2_57304_No3_DM0.00_17.14ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand013748.png,Z081.0-00.1_masked_beam2_57304_No2_DM0.00_10.91ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand018573.png,G106.5-03.8_masked_beam0_56478_No1_DM0.00_60.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand011637.png,G146.0-13.9_masked_beam0_56048_No2_DM0.00_30.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand019116.png,G108.9-03.6_masked_beam0_56283_No8_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand016351.png,G202.4-05.9_masked_beam5_56105_No6_DM0.00_2.37ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand012803.png,G154.8-04.7_masked_beam3_55924_No4_DM0.00_14.95ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand012323.png,G079.6-13.1_masked_beam6_56513_No3_DM0.00_1.54ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand005951.png,G071.3+12.8_masked_beam3_55917_No2_DM0.00_14.95ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand011362.png,G133.8-08.0_masked_beam5_57020_No1_DM0.00_60.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand010008.png,G126.1-08.2_masked_beam3_57041_No7_DM0.00_86.73ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand013775.png,Z081.0-00.1_masked_beam5_57304_No7_DM0.00_15.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand006061.png,G043.9-05.2_masked_beam1_56544_No1_DM0.00_60.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand026120.png,Z153.3-03.4_masked_beam2_55916_No2_DM0.00_10.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand010080.png,G135.3-12.2_masked_beam6_56053_No1_DM0.00_1.41ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand015369.png,G156.5+04.4_masked_beam4_57083_No1_DM0.00_455.06ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand017004.png,G222.9-05.3_masked_beam3_55928_No1_DM0.00_1.70ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand007174.png,G089.0-09.9_masked_beam6_56010_No3_DM0.00_9.97ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand031054.png,G192.3+05.0_masked_beam2_56290_No6_DM0.00_3.51ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand020093.png,Z069.3-00.5_masked_beam1_55812_No3_DM0.00_100.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand030406.png,Z143.1+01.6_masked_beam0_57379_No7_DM0.00_4.42ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand015523.png,G157.5+09.6_masked_beam4_57072_No1_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand037840.png,Z050.6+02.7_masked_beam3_56852_No4_DM0.00_46.67ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand008922.png,G126.0-05.7_masked_beam0_55918_No8_DM0.00_39.98ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand024158.png,Z128.8-03.4_masked_beam6_55916_No5_DM0.00_30.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand001449.png,G018.0-06.0_masked_beam1_56477_No1_DM0.00_1.54ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand030186.png,Z195.9-00.4_masked_beam3_55917_No2_DM0.00_1.92ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand016342.png,G163.3-06.1_masked_beam5_57003_No8_DM0.00_12.63ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand031044.png,G192.3+05.0_masked_beam2_56290_No3_DM0.00_3.41ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand025270.png,G135.0-10.6_masked_beam2_56538_No6_DM0.00_50.01ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand033131.png,Z011.4-01.2_masked_beam3_56656_No4_DM0.00_28.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand015820.png,G159.1-06.2_masked_beam5_57003_No5_DM0.00_2.93ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand009012.png,G127.0-09.6_masked_beam0_56053_No4_DM0.00_2.02ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand024872.png,Z142.6-01.2_masked_beam2_55812_No3_DM0.00_14.95ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand032539.png,G224.3+07.9_masked_beam3_56290_No2_DM0.00_6.67ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand015342.png,G093.1-12.7_masked_beam6_56516_No1_DM0.00_117.69ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand010389.png,G128.5-07.7_masked_beam5_57018_No1_DM0.00_30.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand006870.png,G048.4+09.4_masked_beam1_56477_No1_DM8.80_2.17ms_Cand.pfd,Possible match HTRU-N_set03_cand006870.png for J1919+1745 with P0 2.081343 Harmonic Number = 1 Angular sep. (deg): 0.590912970431
HTRU-N_set03_cand006870.png,G048.4+09.4_masked_beam1_56477_No1_DM8.80_2.17ms_Cand.pfd,Possible match HTRU-N_set03_cand006870.png for B1942+17 with P0 1.996899 Harmonic Number = 1 Angular sep. (deg): 0.94004449861
HTRU-N_set02_cand020938.png,Z143.1-01.4_masked_beam2_57385_No12_DM658.70_1.70ms_Cand.pfd,Possible match HTRU-N_set02_cand020938.png for J0408+551 with P0 1.837000 Harmonic Number = 1 Angular sep. (deg): 0.66096624332
HTRU-N_set02_cand020938.png,Z143.1-01.4_masked_beam2_57385_No12_DM658.70_1.70ms_Cand.pfd,Possible match HTRU-N_set02_cand020938.png for J0139+5621 with P0 1.775344 Harmonic Number = 1 Angular sep. (deg): 1.28781177039
HTRU-N_set07_cand014237.png,G170.6-04.2_masked_beam0_55924_No6_DM0.00_60.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand019104.png,G182.4-06.8_masked_beam5_57003_No2_DM0.00_1.61ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set01_cand010361.png,G103.5-04.5_masked_beam1_56478_No3_DM0.00_120.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set01_cand023315.png,Z058.0-01.5_masked_beam5_56785_No47_DM383.80_1.11ms_Cand.pfd,Possible match HTRU-N_set01_cand023315.png for B1919+21 with P0 1.337302 Harmonic Number = 1 Angular sep. (deg): 0.59830441937
HTRU-N_set01_cand023315.png,Z058.0-01.5_masked_beam5_56785_No47_DM383.80_1.11ms_Cand.pfd,Possible match HTRU-N_set01_cand023315.png for J1935+2154 with P0 3.244980 Harmonic Number = 3.33333333333 Angular sep. (deg): 0.513371721046
