Zooniverse name,HTRU-N name,Possible source
HTRU-N_set03_cand037008.png,Z042.5+03.0_masked_beam6_56851_No1_DM13.60_5.36ms_Cand.pfd,Possible match HTRU-N_set03_cand037008.png for J1907+0919 with P0 5.198346 Harmonic Number = 1 Angular sep. (deg): 0.577680559219
HTRU-N_set03_cand015553.png,G094.3-12.9_masked_beam5_56516_No3_DM0.00_29.42ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand017496.png,G101.9-12.7_masked_beam1_56516_No1_DM0.00_58.85ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand034149.png,Z020.9+02.6_masked_beam4_56655_No4_DM0.00_12.55ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand034547.png,Z023.6+01.9_masked_beam0_56647_No6_DM0.00_12.55ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand034548.png,Z023.6+01.9_masked_beam0_56647_No7_DM0.00_6.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand051320.png,Z156.1-00.6_masked_beam4_56844_No1_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand022612.png,Z075.8+03.0_masked_beam5_55812_No6_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand026789.png,G145.6-03.6_masked_beam5_56289_No2_DM0.00_33.63ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand015371.png,Z088.0+03.0_masked_beam0_57339_No5_DM0.00_33.63ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand026110.png,G225.1-12.0_masked_beam3_57055_No4_DM0.00_62.50ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand026127.png,G225.1-12.0_masked_beam6_57055_No3_DM0.00_62.50ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand028021.png,G241.0+09.9_masked_beam4_57076_No1_DM0.00_911.08ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set08_cand021545.png,G197.9-05.2_masked_beam5_57070_No1_DM0.00_374.99ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand025103.png,G134.3-05.1_masked_beam2_56289_No1_DM0.00_58.85ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand030505.png,G185.8-07.6_masked_beam5_56294_No1_DM0.00_47.08ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand030594.png,G186.8-08.2_masked_beam3_56294_No2_DM0.00_47.08ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand030637.png,G187.5+04.7_masked_beam1_56299_No2_DM0.00_58.85ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand030648.png,G187.5+04.7_masked_beam4_56299_No3_DM0.00_33.63ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand020613.png,G114.8+08.4_masked_beam5_56392_No1_DM0.00_47.08ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand030907.png,G190.9+03.9_masked_beam5_56290_No4_DM0.00_21.40ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand030898.png,G190.9+03.9_masked_beam2_56290_No1_DM0.00_58.85ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand030906.png,G190.9+03.9_masked_beam5_56290_No2_DM0.00_47.08ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set03_cand031159.png,G193.4+04.8_masked_beam5_56290_No1_DM0.00_58.85ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand033437.png,Z155.0+02.5_masked_beam4_57121_No1_DM0.00_911.08ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand033294.png,Z154.1+01.2_masked_beam4_57121_No4_DM0.00_1820.91ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand014152.png,G169.6-06.2_masked_beam0_55924_No1_DM0.00_60.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set07_cand014565.png,G173.6-03.8_masked_beam0_55924_No8_DM0.00_24.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand017414.png,Z095.1+03.5_masked_beam2_57265_No1_DM0.00_20.00ms_Cand.pfd,Likely RFI (peak DM 0)
HTRU-N_set04_cand021122.png,Z110.6-00.9_masked_beam5_57263_No1_DM0.00_131.66ms_Cand.pfd,Likely RFI (peak DM 0)
