line_number,subject_ids,image_number,user_name,workflow_id,workflow_version,classification_id,created_at,elasped_time,image_size,first_task,H palm,flowering,leafless
13621,4982654,20161003_Zone4_S1_332,Visitor,3130,1.13,23168828,2016-12-12 16:21:36 UTC,0:02:50,"[2000, 1500]",Yes,"[[1116, 1162, 93, ""h""]]","[[266, 80, 239, ""f""]]","[[751, 560, 81, ""l""], [557, 907, 68, ""l""], [364, 925, 46, ""l""], [725, 1140, 64, ""l""], [1925, 989, 71, ""l""]]"
20432,4982654,20161003_Zone4_S1_332,nanote,3130,1.13,23218593,2016-12-13 12:58:05 UTC,0:00:51,"[2000, 1500]",Yes,"[[1101, 1161, 86, ""h""], [1752, 808, 148, ""h""], [100, 879, 136, ""h""], [58, 1189, 139, ""h""], [806, 175, 123, ""h""]]","[[323, 137, 235, ""f""]]",[]
29873,4982654,20161003_Zone4_S1_332,ironbear888,3130,1.13,23429221,2016-12-17 00:28:54 UTC,0:00:57,"[2000, 1500]",Yes,"[[845, 204, 90, ""h""], [1117, 1174, 84, ""h""], [167, 356, 51, ""h""], [968, 767, 5, ""h""], [1974, 1299, 48, ""h""]]",[],[]
31399,4982654,20161003_Zone4_S1_332,Duccea,3130,1.13,23459285,2016-12-17 19:48:58 UTC,0:00:10,"[2000, 1500]",Yes,"[[830, 201, 101, ""h""], [1129, 1168, 82, ""h""]]",[],[]
33244,4982654,20161003_Zone4_S1_332,WiltedLotus,3130,1.13,23510845,2016-12-19 01:16:47 UTC,0:00:38,"[2000, 1500]",Yes,"[[1118, 1168, 86, ""h""], [178, 374, 90, ""h""], [826, 188, 107, ""h""], [1979, 1300, 64, ""h""]]","[[332, 98, 202, ""f""]]",[]
34527,4982654,20161003_Zone4_S1_332,mcelhosc,3130,1.13,23555766,2016-12-19 22:34:13 UTC,0:04:15,"[2000, 1500]",Yes,"[[1112, 1167, 92, ""h""], [854, 212, 128, ""h""], [191, 372, 76, ""h""], [1981, 1298, 66, ""h""]]","[[240, 49, 134, ""f""], [1031, 88, 156, ""f""], [617, 288, 101, ""f""], [410, 498, 145, ""f""], [568, 632, 109, ""f""], [251, 645, 81, ""f""], [228, 485, 76, ""f""], [347, 288, 81, ""f""]]","[[618, 882, 125, ""l""], [769, 572, 93, ""l""], [726, 1167, 64, ""l""], [639, 1085, 52, ""l""], [366, 908, 75, ""l""], [1196, 944, 64, ""l""]]"
35942,4982654,20161003_Zone4_S1_332,rayperry,3130,1.13,23634634,2016-12-21 08:24:34 UTC,0:00:31,"[2000, 1500]",Yes,"[[1117, 1165, 95, ""h""], [835, 189, 77, ""h""]]","[[263, 97, 102, ""f""]]",[]
36312,4982654,20161003_Zone4_S1_332,MARGILL,3130,1.13,23645265,2016-12-21 15:56:12 UTC,0:01:48,"[2000, 1500]",Yes,"[[1106, 1189, 101, ""h""]]",[],[]
36700,4982654,20161003_Zone4_S1_332,elizabeth_s,3130,1.13,23659758,2016-12-21 21:15:28 UTC,0:00:19,"[2000, 1500]",Yes,"[[1772, 788, 196, ""h""], [1133, 1157, 172, ""h""], [135, 876, 76, ""h""]]",[],[]
41457,4982654,20161003_Zone4_S1_332,hanank,3130,1.13,23927237,2016-12-29 10:40:19 UTC,0:00:54,"[2000, 1500]",Yes,"[[1112, 1180, 107, ""h""], [840, 207, 123, ""h""]]",[],[]
