line_number,subject_ids,image_number,user_name,workflow_id,workflow_version,classification_id,created_at,elasped_time,image_size,first_task,H palm,flowering,leafless
11921,4989497,20161007_Zone1_S3_031,Visitor,3130,1.13,23163959,2016-12-12 14:59:32 UTC,0:03:31,"[898, 675]",Yes,[],"[[690, 431, 123, ""f""], [51, 37, 41, ""f""]]",[]
11922,4983502,20161003_Zone4_S2_327,QI4803853a,3130,1.13,23163986,2016-12-12 15:00:00 UTC,0:01:05,"[2000, 1500]",Yes,"[[905, 1109, 199, ""h""], [1595, 813, 124, ""h""], [1526, 1296, 128, ""h""], [1970, 1400, 134, ""h""], [1531, 552, 135, ""h""]]",[],[]
11923,4989580,20161007_Zone1_S3_114,Visitor,3130,1.13,23163998,2016-12-12 15:00:15 UTC,0:03:49,"[898, 675]",Yes,"[[431, 373, 68, ""h""], [80, 624, 59, ""h""], [259, 408, 48, ""h""]]","[[863, 612, 59, ""f""], [739, 292, 54, ""f""]]","[[304, 491, 146, ""l""], [267, 241, 44, ""l""]]"
11924,4993510,20161004_Zone6_S3_049,Visitor,3130,1.13,23164003,2016-12-12 15:00:21 UTC,0:00:40,"[1197, 900]",Yes,[],"[[625, 819, 70, ""f""]]","[[1139, 496, 49, ""l""]]"
11925,4988296,20161006_Zone3_S3_0739,Nauter,3130,1.13,23164008,2016-12-12 15:00:27 UTC,0:02:25,"[1995, 1500]",Yes,"[[1567, 621, 80, ""h""], [461, 201, 68, ""h""]]",[],"[[1312, 785, 162, ""l""], [793, 1417, 175, ""l""], [628, 235, 87, ""l""]]"
11926,4993495,20161004_Zone6_S3_041,Visitor,3130,1.13,23164011,2016-12-12 15:00:31 UTC,0:00:26,"[1197, 900]",No,[],[],[]
11927,4989884,20161007_Zone2_S1_178,Visitor,3130,1.13,23164013,2016-12-12 15:00:32 UTC,0:00:10,"[800, 600]",No,[],[],[]
11928,4982423,20161003_Zone4_S1_101,QI4803853a,3130,1.13,23164021,2016-12-12 15:00:44 UTC,0:00:42,"[2000, 1500]",No,[],[],[]
11929,4982494,20161003_Zone4_S1_172,Visitor,3130,1.13,23164023,2016-12-12 15:00:47 UTC,0:01:13,"[2000, 1500]",Yes,[],[],"[[865, 813, 442, ""l""], [2588, 1002, 770, ""l""]]"
11930,4983495,20161003_Zone4_S2_323,Carolo52,3130,1.13,23164024,2016-12-12 15:00:48 UTC,0:05:50,"[2000, 1500]",Yes,"[[745, 47, 152, ""h""]]","[[66, 1388, 181, ""f""]]","[[287, 841, 114, ""l""], [533, 746, 91, ""l""], [1080, 740, 114, ""l""], [734, 673, 124, ""l""], [957, 249, 101, ""l""], [1103, 483, 93, ""l""], [1985, 1056, 219, ""l""]]"
11931,4983850,20161003_Zone4_S3_121,OwenEdmonds,3130,1.13,23164028,2016-12-12 15:00:56 UTC,0:01:48,"[1995, 1500]",Yes,"[[233, 801, 130, ""h""]]","[[998, 977, 224, ""f""]]",[]
