line_number,user_ip,classifications_done,assigned_name
83011,82ebe266250a480e8aa2,1287,QI82ebe266
24085,dcc13549c13f2939c611,489,QIdcc13549
23015,8a157dde22e1f8179940,378,QI8a157dde
13414,dca1aa70cf44d6706b27,275,QIdca1aa70
98549,bc77afb56758de159682,251,QIbc77afb5
67856,cbff7352e6ad9c9cd7b4,215,QIcbff7352
62210,bf04d4da88b30df3df07,208,QIbf04d4da
19128,5571b9c1c684eeaf54c7,187,QI5571b9c1
13297,6b05001b6b090966ad42,157,QI6b05001b
64866,01efdfebd38fbb2d1a7f,154,QI01efdfeb
12602,3fdc1d4d281d6cc53de1,151,QI3fdc1d4d
98354,2e5a0353fda16c66cb98,145,QI2e5a0353
95245,decc1b5181c56b00f899,141,QIdecc1b51
87201,289a1c39eff097521cf2,140,QI289a1c39
52794,fdc5e6d30fc64bc79271,121,QIfdc5e6d3
11957,dc4b79dab6b36a1fe4d3,119,QIdc4b79da
14702,5a969f66ee7e84d38fad,106,QI5a969f66
20144,31b8c2aaf50b2a75ca22,98,QI31b8c2aa
97059,5bd1ca30d4a67bc19d91,98,QI5bd1ca30
33259,8d9d54c27637221cf4f6,98,QI8d9d54c2
98376,e7393109a9393f5cb50e,98,QIe7393109
69252,a9a911fe55e45fcc82d8,93,QIa9a911fe
86319,e94491638b6017b9ff2d,93,QIe9449163
54951,dd1a289ade24ca2b0344,91,QIdd1a289a
73627,107b462d1ff95b0b0d52,90,QI107b462d
38504,9931297447339507efee,88,QI99312974
14276,c9a6ddb56853d66574a9,84,QIc9a6ddb5
21302,662c0a6e638c503fe8be,82,QI662c0a6e
55955,b4b1d44e47523a1600e4,81,QIb4b1d44e
12819,c5811a0580508095600f,81,QIc5811a05
68920,975aaaed35e4b1b52f68,80,QI975aaaed
73095,cb1027529d246edbe6e1,78,QIcb102752
73294,192709e66e92c339e2b3,76,QI192709e6
48440,8d9390e0e0aa50051f7f,71,QI8d9390e0
74525,a21862e15437e0e02b3e,70,QIa21862e1
76817,c48817b36c55fba59210,70,QIc48817b3
78195,31812af9278a03ed8911,63,QI31812af9
22344,fc975e75b93ba3792f9d,61,QIfc975e75
76629,40aae8ac53c9d32673fb,59,QI40aae8ac
95012,829823e5de4a1cdcde15,58,QI829823e5
97820,c2f8862e406ed9b1d6ef,57,QIc2f8862e
86230,c62e2a8fa6f63fd57787,57,QIc62e2a8f
