line_number,subject_ids,user_name,workflow_id,workflow_version,classification_id,created_at,image_quality,ground_coverage,surface_material
1,907812,QI0da13209,371,160.317,2341107,2015-09-10 10:01:58 UTC,"[0, 1, 0, 0, 0]",,
2,704730,Visitor,371,160.317,2425104,2015-09-09 18:22:50 UTC,"[1, 0, 0, 0, 0]",20-60%,
3,702197,Pmason,371,160.317,2458933,2015-09-10 02:28:15 UTC,"[1, 0, 0, 0, 0]",60-100%,
4,906949,Pmason,371,160.317,2462967,2015-09-10 02:34:54 UTC,"[1, 0, 0, 0, 0]",60-100%,
5,702389,Pmason,371,160.317,2462984,2015-09-10 02:37:34 UTC,"[1, 0, 0, 0, 0]",0-20%,Mud
6,701357,Pmason,371,160.317,2463026,2015-09-09 02:08:10 UTC,"[1, 0, 0, 0, 0]",0-20%,Sand
7,702073,Pmason,371,160.317,2463168,2015-09-09 02:08:46 UTC,"[0, 0, 0, 1, 0]",,
8,910799,QI5a57456f,371,160.317,2478696,2015-09-08 06:42:11 UTC,"""""",,
9,908952,QId3e5bcbd,371,160.317,2480680,2015-09-08 08:55:33 UTC,"[0, 0, 0, 1, 0]",,
10,909514,QId3e5bcbd,371,160.317,2480783,2015-09-08 09:00:02 UTC,"[1, 0, 0, 0, 0]",0-20%,Sand
11,701873,Visitor,371,160.317,2513079,2015-09-09 19:21:20 UTC,"[0, 0, 0, 1, 0]",,
12,700565,AdrianEvans,371,160.317,2540510,2015-09-09 17:50:40 UTC,"[1, 0, 0, 0, 0]",0-20%,Mud
13,702353,Pmason,371,160.317,2542228,2015-09-09 02:17:37 UTC,"[1, 0, 0, 0, 0]",0-20%,Mud
14,699733,QId16f5b3e,371,160.317,2625864,2015-09-10 21:04:25 UTC,"[1, 0, 0, 0, 0]",20-60%,
15,704922,QId16f5b3e,371,160.317,2626057,2015-09-10 21:06:04 UTC,"[0, 1, 0, 0, 0]",,
16,911105,QId16f5b3e,371,160.317,2626209,2015-09-10 21:07:38 UTC,"[1, 0, 0, 0, 0]",20-60%,
