classification_id,subject_ids,created_at,user_name,user_ip,choice,how_many,behaviours,any_young,any_horns,don't_care,subject_species,all_choices
71427228,13118615,2017-09-21 19:43:04 UTC,Pmason,05acb419b0613c3276ba,BUFFALO,1,['EATING'],NO,,,13118615BUFFALO,"[1, [[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 1], [0, 0], [0, 0]]]"
71518854,13118615,2017-09-22 15:54:28 UTC,not-logged-in-efdcc30d02f11ba73442,efdcc30d02f11ba73442,BUFFALO,1,['EATING'],NO,,,13118615BUFFALO,"[1, [[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 1], [0, 0], [0, 0]]]"
71519546,13118615,2017-09-22 15:59:18 UTC,4u2c,efdcc30d02f11ba73442,BUFFALO,1,['EATING'],NO,,,13118615BUFFALO,"[1, [[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 1], [0, 0], [0, 0]]]"
71519939,13118615,2017-09-22 16:02:20 UTC,not-logged-in-efdcc30d02f11ba73442,efdcc30d02f11ba73442,BUFFALO,1,['EATING'],NO,,,13118615BUFFALO,"[1, [[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 1], [0, 0], [0, 0]]]"
71520143,13118615,2017-09-22 16:04:10 UTC,not-logged-in-efdcc30d02f11ba73442,efdcc30d02f11ba73442,BUFFALO,1,['EATING'],NO,,,13118615BUFFALO,"[1, [[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 1], [0, 0], [0, 0]]]"
71522508,13118615,2017-09-22 16:28:30 UTC,Pmason,efdcc30d02f11ba73442,BUFFALO,1,"['STANDING', 'EATING']",NO,,,13118615BUFFALO,"[1, [[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 1], [0, 0], [0, 0]]]"
71597207,13118615,2017-09-23 14:24:46 UTC,Pmason,b476e8ea31686628eeef,NOTHINGHERE,,,,,,13118615NOTHINGHERE,"[1, [[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 0], [0, 0], [0, 0]]]"
71427182,13118616,2017-09-21 19:42:39 UTC,Pmason,05acb419b0613c3276ba,CARACAL,1,['STANDING'],NO,,,13118616CARACAL,"[1, [[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 1], [0, 0], [0, 0]]]"
71516582,13118616,2017-09-22 15:36:01 UTC,Pmason,6f88714c602d4335d94e,CARACAL,1,['STANDING'],NO,,,13118616CARACAL,"[1, [[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 1], [0, 0], [0, 0]]]"
71516897,13118616,2017-09-22 15:38:43 UTC,4u2c,6f88714c602d4335d94e,CARACAL,1,['STANDING'],NO,,,13118616CARACAL,"[1, [[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0], [0, 1], [0, 0], [0, 0]]]"
