subject_ids,classifications,choice,choice v_f,how_many,how_many_vf,Resting,Standing,Moving,Eating,Interacting,Young,No_Young,Horns,No_Horns,Don't_care_yes,Don't_care_no
13118615,7,BUFFALO,86,1,86,0,0,0,0,0,0,86,0,0,0,0
13118616,9,CARACAL,100,1,100,0,0,0,0,0,0,100,0,0,0,0
13118617,8,CIVET,99,1,87,0,0,0,0,0,12,87,0,0,0,0
13118618,8,GENET,87,1,87,0,0,0,0,0,0,87,0,0,0,0
13118619,8,AARDVARK,99,1,87,0,0,0,0,0,0,87,0,0,0,0
13689913,6,ELAND,100,1,100,0,0,0,0,0,0,100,100,0,0,0
13689913,6,IMPALA,100,1,100,0,0,0,0,0,0,100,100,0,0,0
13689917,8,IMPALA,75,4,75,0,0,0,0,0,0,75,37,37,0,0
13689921,3,insufficient classifications,,,,,,,,,,,,,,
13689925,6,"indeterminate species, no consensus",,,,,,,,,,,,,,
13689928,6,HARTEBEEST,100,1,100,0,0,0,0,0,0,100,100,0,0,0
13689932,4,HONEYBADGER,100,1,100,0,0,0,0,0,0,100,0,0,75,25
13689935,7,HONEYBADGER,100,3,86,0,0,0,0,0,0,100,0,0,14,86
13690665,8,indeterminate species,,,,,,,,,,,,,,
13690668,7,BUSHPIG,100,4,71,0,0,0,0,0,0,100,0,0,0,0
