subject_id,project_id,workflow_ids,subject_set_id,metadata,locations,classifications_by_workflow,retired_in_workflow
1977273,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_20.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_20.jpeg"",""center_lat"":""-0.650358777527759"",""center_lon"":""-80.52270130282157"",""upper_left_lat"":""-0.642224524030015"",""upper_left_lon"":""-80.53078218834874"",""bottom_left_lat"":""-0.6584945560248329"",""bottom_left_lon"":""-80.53078068595534"",""upper_right_lat"":""-0.6422230049901888"",""upper_right_lon"":""-80.51462194555499"",""bottom_right_lat"":""-0.6584929984986381"",""bottom_right_lon"":""-80.51462039142278""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/534ed839-87e0-43c1-bbfe-1384a85744dc.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ad4aec6a-4524-4a3a-94fb-d7ec6b3a904e.jpeg""}",null,[]
1977274,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_22.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_22.jpeg"",""center_lat"":""-0.6666287899106007"",""center_lon"":""-80.52269975543828"",""upper_left_lat"":""-0.6584945560248329"",""upper_left_lon"":""-80.53078068595534"",""bottom_left_lat"":""-0.6747645869498421"",""bottom_left_lon"":""-80.53077914596825"",""upper_right_lat"":""-0.6584929984986381"",""upper_right_lon"":""-80.51462039142278"",""bottom_right_lat"":""-0.6747629909370401"",""bottom_right_lon"":""-80.5146187984023""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/ec2e040e-cae5-4345-a1bd-e5939290bb6a.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/bc687036-1586-431c-8e35-729c7b087a9f.jpeg""}",null,[]
1977275,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_24.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_24.jpeg"",""center_lat"":""-0.6828988012103002"",""center_lon"":""-80.52269816981371"",""upper_left_lat"":""-0.6747645869498421"",""upper_left_lon"":""-80.53077914596825"",""bottom_left_lat"":""-0.691034616778615"",""bottom_left_lon"":""-80.53077756838692"",""upper_right_lat"":""-0.6747629909370401"",""upper_right_lon"":""-80.5146187984023"",""bottom_right_lat"":""-0.6910329822789611"",""bottom_right_lon"":""-80.51461716649288""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/35000c88-356a-457a-9f25-bbd216293435.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/fc9896e9-db37-4199-8065-2c60a1db5053.jpeg""}",null,[]
1977276,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_26.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_26.jpeg"",""center_lat"":""-0.6991688114004265"",""center_lon"":""-80.52269654594721"",""upper_left_lat"":""-0.691034616778615"",""upper_left_lon"":""-80.53077756838692"",""bottom_left_lat"":""-0.7073046454847237"",""bottom_left_lon"":""-80.53077595321069"",""upper_right_lat"":""-0.6910329822789611"",""upper_right_lon"":""-80.51461716649288"",""bottom_right_lat"":""-0.7073029724979677"",""bottom_right_lon"":""-80.51461549569392""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6611c20d-4868-4283-bef0-84c86571723a.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/5ad09bc9-65d7-42bb-975e-db6af4796bc8.jpeg""}",null,[]
1977277,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_28.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_28.jpeg"",""center_lat"":""-0.7154388204545494"",""center_lon"":""-80.52269488383816"",""upper_left_lat"":""-0.7073046454847237"",""upper_left_lon"":""-80.53077595321069"",""bottom_left_lat"":""-0.7235746730417412"",""bottom_left_lon"":""-80.5307743004389"",""upper_right_lat"":""-0.7073029724979677"",""upper_right_lon"":""-80.51461549569392"",""bottom_right_lat"":""-0.7235729615676266"",""bottom_right_lon"":""-80.51461378600469""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a640995c-156e-49e3-8b6e-401be0463f55.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/98d44f44-8bb2-4a36-894f-5f90533e56f9.jpeg""}",null,[]
1977278,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_30.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_30.jpeg"",""center_lat"":""-0.7317088283462395"",""center_lon"":""-80.52269318348588"",""upper_left_lat"":""-0.7235746730417412"",""upper_left_lon"":""-80.5307743004389"",""bottom_left_lat"":""-0.7398446994232406"",""bottom_left_lon"":""-80.53077261007094"",""upper_right_lat"":""-0.7235729615676266"",""upper_right_lon"":""-80.51461378600469"",""bottom_right_lat"":""-0.7398429494615054"",""bottom_right_lon"":""-80.51461203742454""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/bc9c2129-39ac-4e38-891d-0e99db3b9f77.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6b6f469f-41fb-42f5-8ebc-ae2c63568a41.jpeg""}",null,[]
1977279,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_0_32.jpeg"",""image2"":""After-Bahia-20160418-clipped_0_32.jpeg"",""center_lat"":""-0.7479788350490667"",""center_lon"":""-80.52269144488969"",""upper_left_lat"":""-0.7398446994232406"",""upper_left_lon"":""-80.53077261007094"",""bottom_left_lat"":""-0.7561147246027958"",""bottom_left_lon"":""-80.5307708821061"",""upper_right_lat"":""-0.7398429494615054"",""upper_right_lon"":""-80.51461203742454"",""bottom_right_lat"":""-0.7561129361531719"",""bottom_right_lon"":""-80.51461024995278""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a4dc8c5b-5219-49f5-8aac-7387c41cf2b8.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/cbfc0c8f-9f74-4c91-8941-9d9dfe1c165b.jpeg""}",null,[]
1977280,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_1.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_1.jpeg"",""center_lat"":""-0.4957930196237561"",""center_lon"":""-80.51463418286876"",""upper_left_lat"":""-0.4876585999414871"",""upper_left_lon"":""-80.52271467351193"",""bottom_left_lat"":""-0.5039286217019953"",""bottom_left_lon"":""-80.52271350851008"",""upper_right_lat"":""-0.4876574269869707"",""upper_right_lon"":""-80.50655487694542"",""bottom_right_lat"":""-0.5039274096116472"",""bottom_right_lon"":""-80.5065536725031""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/c9720274-f249-4a6f-8db7-63990fffc87a.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6d1f2f62-3d1b-45ac-aa29-ac4d3fe2811c.jpeg""}",null,[]
1977281,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_3.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_3.jpeg"",""center_lat"":""-0.5120630215730566"",""center_lon"":""-80.51463297870518"",""upper_left_lat"":""-0.5039286217019953"",""upper_left_lon"":""-80.52271350851008"",""bottom_left_lat"":""-0.5201986426436853"",""bottom_left_lon"":""-80.52271230527245"",""upper_right_lat"":""-0.5039274096116472"",""upper_right_lon"":""-80.5065536725031"",""bottom_right_lat"":""-0.5201973914173197"",""bottom_right_lon"":""-80.50655242853054""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/2a470fca-530a-4fa2-a435-7d8c43b92208.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/1f4198fb-245b-4708-bdb6-70797a3c31d8.jpeg""}",null,[]
1977282,2519,[],4262,"{""image1"":""Before-Bahia-20160418-clipped-warped_1_5.jpeg"",""image2"":""After-Bahia-20160418-clipped_1_5.jpeg"",""center_lat"":""-0.5283330226902282"",""center_lon"":""-80.5146317356583"",""upper_left_lat"":""-0.5201986426436853"",""upper_left_lon"":""-80.52271230527245"",""bottom_left_lat"":""-0.5364686627401235"",""bottom_left_lon"":""-80.52271106379851"",""upper_right_lat"":""-0.5201973914173197"",""upper_right_lon"":""-80.50655242853054"",""bottom_right_lat"":""-0.5364673723775488"",""bottom_right_lon"":""-80.50655114502722""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/cd02dfb1-b166-461a-9582-e38bf228e635.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e36dc456-85ec-4f0a-ab34-5011cdd8dc0d.jpeg""}",null,[]
