classification_id,subject_ids,created_at,user_name,user_id,user_ip,t0_choice,t0_how_many,t0_what_behaviors_do_you_see,t0_are_there_any_young_present
71425933,13118619,2017-09-21 19:29:43 UTC,Pmason,1365766.0,05acb419b0613c3276ba,AARDVARK,1,"['MOVING']",NO
71426706,13118618,2017-09-21 19:37:22 UTC,Pmason,1365766.0,05acb419b0613c3276ba,CIVET,1,"['MOVING']",NO
71426967,13118617,2017-09-21 19:40:09 UTC,Pmason,1365766.0,05acb419b0613c3276ba,CIVET,1,"['STANDING']",NO
71427182,13118616,2017-09-21 19:42:39 UTC,Pmason,1365766.0,05acb419b0613c3276ba,CARACAL,1,"['STANDING']",NO
71427228,13118615,2017-09-21 19:43:04 UTC,Pmason,1365766.0,05acb419b0613c3276ba,BUFFALO,1,"['EATING']",NO
71516194,13118619,2017-09-22 15:33:20 UTC,Pmason,1365766.0,6f88714c602d4335d94e,AARDVARK,1,"['MOVING']",NO
71516582,13118616,2017-09-22 15:36:01 UTC,Pmason,1365766.0,6f88714c602d4335d94e,CARACAL,1,"['STANDING']",NO
71516897,13118616,2017-09-22 15:38:43 UTC,4u2c,1456360.0,6f88714c602d4335d94e,CARACAL,1,"['STANDING']",NO
71518689,13118616,2017-09-22 15:53:21 UTC,not-logged-in-6f88714c602d4335d94e,0.0,6f88714c602d4335d94e,CARACAL,1,"['STANDING']",NO
71518854,13118615,2017-09-22 15:54:28 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,BUFFALO,1,"['EATING']",NO
71518933,13118617,2017-09-22 15:54:59 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,CIVET,1,"['STANDING']",NO
71519089,13118618,2017-09-22 15:55:56 UTC,Pmason,1365766.0,efdcc30d02f11ba73442,GENET,1,"['MOVING']",NO
71519312,13118617,2017-09-22 15:57:27 UTC,Pmason,1365766.0,efdcc30d02f11ba73442,CIVET,1,"['STANDING']",NO
71519353,13118619,2017-09-22 15:57:48 UTC,Pmason,1365766.0,efdcc30d02f11ba73442,AARDVARK,1,"['MOVING']",NO
71519431,13118616,2017-09-22 15:58:23 UTC,Pmason,1365766.0,efdcc30d02f11ba73442,CARACAL,1,"['STANDING']",NO
71519546,13118615,2017-09-22 15:59:18 UTC,4u2c,1456360.0,efdcc30d02f11ba73442,BUFFALO,1,"['EATING']",NO
71519577,13118617,2017-09-22 15:59:35 UTC,4u2c,1456360.0,efdcc30d02f11ba73442,CIVET,1,"['STANDING']",NO
71519603,13118618,2017-09-22 15:59:51 UTC,4u2c,1456360.0,efdcc30d02f11ba73442,GENET,1,"['MOVING']",NO
71519642,13118619,2017-09-22 16:00:12 UTC,4u2c,1456360.0,efdcc30d02f11ba73442,AARDVARK,1,"['MOVING']",NO
71519817,13118616,2017-09-22 16:01:19 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,CARACAL,1,"['STANDING']",NO
71519843,13118619,2017-09-22 16:01:30 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,AARDVARK,1,"['MOVING']",NO
71519892,13118618,2017-09-22 16:01:53 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,GENET,1,"['MOVING']",NO
71519914,13118617,2017-09-22 16:02:07 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,CIVET,1,"['STANDING']",NO
71519939,13118615,2017-09-22 16:02:20 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,BUFFALO,1,"['EATING']",NO
71520064,13118619,2017-09-22 16:03:17 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,AARDVARK,1,"['MOVING']",NO
71520091,13118618,2017-09-22 16:03:35 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,GENET,1,"['STANDING']",NO
71520109,13118617,2017-09-22 16:03:47 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,CIVET,1,"['STANDING']",NO
71520126,13118616,2017-09-22 16:03:59 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,CARACAL,1,"['STANDING']",NO
71520143,13118615,2017-09-22 16:04:10 UTC,not-logged-in-efdcc30d02f11ba73442,0.0,efdcc30d02f11ba73442,BUFFALO,1,"['EATING']",NO
71522306,13118617,2017-09-22 16:26:26 UTC,Pmason,1365766.0,efdcc30d02f11ba73442,CIVET,1,"['STANDING']",NO
71522454,13118618,2017-09-22 16:28:01 UTC,Pmason,1365766.0,efdcc30d02f11ba73442,GENET,1,"['STANDING']",NO
71522508,13118615,2017-09-22 16:28:30 UTC,Pmason,1365766.0,efdcc30d02f11ba73442,BUFFALO,1,"['STANDING', 'EATING']",NO
71522562,13118619,2017-09-22 16:29:01 UTC,Pmason,1365766.0,efdcc30d02f11ba73442,AARDVARK,1,"['MOVING']",NO
71522623,13118616,2017-09-22 16:29:35 UTC,Pmason,1365766.0,efdcc30d02f11ba73442,CARACAL,1,"['STANDING']",NO
71597200,13118618,2017-09-23 14:24:34 UTC,Pmason,1365766.0,b476e8ea31686628eeef,GENET,1,"['STANDING']",NO
71597200,13118618,2017-09-23 14:24:34 UTC,Pmason,1365766.0,b476e8ea31686628eeef,HIPPOPOTAMUS,3,"['MOVING']",NO
71597207,13118615,2017-09-23 14:24:46 UTC,Pmason,1365766.0,b476e8ea31686628eeef,NOTHINGHERE,,,
71597228,13118619,2017-09-23 14:25:20 UTC,Pmason,1365766.0,b476e8ea31686628eeef,AARDVARK,1,"['MOVING']",
71597279,13118616,2017-09-23 14:26:24 UTC,Pmason,1365766.0,b476e8ea31686628eeef,CARACAL,1,"['STANDING']",NO
71597279,13118616,2017-09-23 14:26:24 UTC,Pmason,1365766.0,b476e8ea31686628eeef,HARE,1,"['MOVING']",NO
