# subject_ids,num_classifications,frac_yes,frac_no,frac_null,aggregate_result
5655974,19,0.0,17.0,2.0,No.
5655975,29,27.0,0.0,2.0,Yes!
5655976,20,0.0,20.0,0.0,No.
5655977,17,17.0,0.0,0.0,Yes!
5655978,304,276.0,4.0,24.0,Yes!
5655979,296,277.0,2.0,17.0,Yes!
5655980,17,17.0,0.0,0.0,Yes!
5655981,25,25.0,0.0,0.0,Yes!
5655982,16,1.0,15.0,0.0,Yes!
5655983,16,15.0,0.0,1.0,Yes!
5655984,17,16.0,0.0,1.0,Yes!
5655985,11,11.0,0.0,0.0,Yes!
5655986,16,0.0,15.0,1.0,No.
5655987,18,18.0,0.0,0.0,Yes!
5655988,12,11.0,0.0,1.0,Yes!
5655989,18,17.0,0.0,1.0,Yes!
5655990,21,1.0,18.0,2.0,Yes!
5655991,29,26.0,2.0,1.0,Yes!
5655992,288,266.0,4.0,18.0,Yes!
5655993,20,19.0,0.0,1.0,Yes!
5655994,23,0.0,22.0,1.0,No.
5655995,21,20.0,0.0,1.0,Yes!
5655996,17,17.0,0.0,0.0,Yes!
5655997,21,19.0,0.0,2.0,Yes!
5655998,19,0.0,18.0,1.0,No.
5655999,15,13.0,2.0,0.0,Yes!
5656000,21,21.0,0.0,0.0,Yes!
5656001,26,24.0,0.0,2.0,Yes!
5656002,20,0.0,20.0,0.0,No.
5656003,29,28.0,0.0,1.0,Yes!
5656004,20,19.0,1.0,0.0,Yes!
5656005,17,16.0,1.0,0.0,Yes!
5656006,14,0.0,14.0,0.0,No.
5656007,16,15.0,0.0,1.0,Yes!
5656008,310,282.0,2.0,26.0,Yes!
5656009,17,17.0,0.0,0.0,Yes!
5656010,17,0.0,17.0,0.0,No.
5656011,39,38.0,0.0,1.0,Yes!
5656012,18,18.0,0.0,0.0,Yes!
5656013,317,287.0,1.0,29.0,Yes!
5656014,302,7.0,279.0,16.0,Yes!
5656015,292,268.0,7.0,17.0,Yes!
5656016,28,26.0,0.0,2.0,Yes!
5656017,15,15.0,0.0,0.0,Yes!
5656018,20,1.0,16.0,3.0,Yes!
5656019,16,16.0,0.0,0.0,Yes!
5656020,303,278.0,4.0,21.0,Yes!
5656021,17,16.0,0.0,1.0,Yes!
5656022,18,1.0,15.0,2.0,Yes!
5656023,17,15.0,1.0,1.0,Yes!
5656024,14,14.0,0.0,0.0,Yes!
5656025,313,279.0,3.0,31.0,Yes!
5656026,18,0.0,16.0,2.0,No.
5656027,14,14.0,0.0,0.0,Yes!
5656028,12,12.0,0.0,0.0,Yes!
5656029,295,269.0,0.0,26.0,Yes!
5656030,16,0.0,15.0,1.0,No.
5656031,28,26.0,0.0,2.0,Yes!
5656032,321,298.0,6.0,17.0,Yes!
5656033,16,15.0,0.0,1.0,Yes!
5656034,307,11.0,275.0,21.0,Yes!
5656035,15,15.0,0.0,0.0,Yes!
5656036,14,13.0,0.0,1.0,Yes!
5656037,17,17.0,0.0,0.0,Yes!
5656038,16,0.0,16.0,0.0,No.
5656039,16,14.0,1.0,1.0,Yes!
5656040,17,17.0,0.0,0.0,Yes!
5656041,290,272.0,0.0,18.0,Yes!
5656042,17,0.0,15.0,2.0,No.
5656043,18,18.0,0.0,0.0,Yes!
5656044,15,14.0,0.0,1.0,Yes!
5656045,18,18.0,0.0,0.0,Yes!
5656046,15,1.0,14.0,0.0,Yes!
5656047,16,16.0,0.0,0.0,Yes!
5656048,25,24.0,0.0,1.0,Yes!
5656049,300,284.0,0.0,16.0,Yes!
5656050,14,0.0,14.0,0.0,No.
5656051,310,284.0,4.0,22.0,Yes!
5656052,308,283.0,2.0,23.0,Yes!
5656053,17,17.0,0.0,0.0,Yes!
5656054,311,5.0,282.0,24.0,Yes!
5656055,321,292.0,1.0,28.0,Yes!
5656056,22,21.0,0.0,1.0,Yes!
5656057,16,16.0,0.0,0.0,Yes!
5656058,26,22.0,2.0,2.0,Yes!
5656059,17,17.0,0.0,0.0,Yes!
5656060,12,12.0,0.0,0.0,Yes!
5656061,16,16.0,0.0,0.0,Yes!
5656062,16,0.0,16.0,0.0,No.
5656063,13,13.0,0.0,0.0,Yes!
5656064,16,15.0,0.0,1.0,Yes!
5656065,312,284.0,1.0,27.0,Yes!
5656066,13,0.0,13.0,0.0,No.
5656067,18,17.0,0.0,1.0,Yes!
5656068,15,15.0,0.0,0.0,Yes!
5656069,308,285.0,0.0,23.0,Yes!
5656070,17,0.0,17.0,0.0,No.
5656071,21,20.0,0.0,1.0,Yes!
5656072,15,15.0,0.0,0.0,Yes!
5656073,17,17.0,0.0,0.0,Yes!
